Pollutant,AQI_Low,AQI_High,Conc_Low,Conc_High,Unit
PM2.5,0,50,0,30,ug/m3
PM2.5,51,100,31,60,ug/m3
PM2.5,101,200,61,90,ug/m3
PM2.5,201,300,91,120,ug/m3
PM2.5,301,400,121,250,ug/m3
PM2.5,401,500,250,10000,ug/m3

PM10,0,50,0,50,ug/m3
PM10,51,100,51,100,ug/m3
PM10,101,200,101,250,ug/m3
PM10,201,300,251,350,ug/m3
PM10,301,400,351,430,ug/m3
PM10,401,500,430,10000,ug/m3

NO2,0,50,0,40,ug/m3
NO2,51,100,41,80,ug/m3
NO2,101,200,81,180,ug/m3
NO2,201,300,181,280,ug/m3
NO2,301,400,281,400,ug/m3
NO2,401,500,400,10000,ug/m3

O3,0,50,0,50,ug/m3
O3,51,100,51,100,ug/m3
O3,101,200,101,168,ug/m3
O3,201,300,169,208,ug/m3
O3,301,400,209,748,ug/m3
O3,401,500,748,10000,ug/m3

CO,0,50,0,1.0,mg/m3
CO,51,100,1.1,2.0,mg/m3
CO,101,200,2.1,10,mg/m3
CO,201,300,10,17,mg/m3
CO,301,400,17,34,mg/m3
CO,401,500,34,1000,mg/m3

SO2,0,50,0,40,ug/m3
SO2,51,100,41,80,ug/m3
SO2,101,200,81,380,ug/m3
SO2,201,300,381,800,ug/m3
SO2,301,400,801,1600,ug/m3
SO2,401,500,1600,10000,ug/m3

NH3,0,50,0,200,ug/m3
NH3,51,100,201,400,ug/m3
NH3,101,200,401,800,ug/m3
NH3,201,300,801,1200,ug/m3
NH3,301,400,1200,1800,ug/m3
NH3,401,500,1800,10000,ug/m3

Pb,0,50,0,0.5,ug/m3
Pb,51,100,0.5,1.0,ug/m3
Pb,101,200,1.1,2.0,ug/m3
Pb,201,300,2.1,3.0,ug/m3
Pb,301,400,3.1,3.5,ug/m3
Pb,401,500,3.5,10,ug/m3